Nome,Estação,Cota de Atenção (cm),Cota de Alerta (cm),Cota de Inundação (cm),Link_graf,Icone
Dom Pedrito,estacaouruguai68299,940.0,1020.0,1100.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=68&s=299,
Rosário do Sul,estacaouruguai3153,470.0,570.0,670.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=31&s=53,
Quaraí,estacaouruguai27240,600.0,750.0,950.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=27&s=240,
Passo do Osório,estacaouruguai70300,760.0,860.0,960.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=70&s=300,
Passo dos Britos,estacaouruguai71315,,,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=71&s=315,
Manoel Viana,estacaouruguai3051,760.0,860.0,960.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=30&s=51,
Alegrete,estacaouruguai28177,750.0,850.0,970.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=28&s=177,
Uruguaiana,estacaouruguai2950,650.0,750.0,850.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=29&s=50,
Passo Mariano Pinto,estacaouruguai58232,750.0,900.0,1050.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=58&s=232,
Itaqui,estacaouruguai32190,630.0,730.0,830.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=32&s=190,
Passo São Borja,estacaouruguai33266,700.0,800.0,900.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=33&s=266,
Garruchos,estacaouruguai3459,1300.0,1400.0,1500.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=34&s=59,
Porto Lucena,estacaouruguai3561,800.0,900.0,1000.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=35&s=61,
Porto Mauá,estacaouruguai56110,800.0,950.0,1050.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=56&s=110,
Alto Uruguai,estacaouruguai57228,1700.0,1900.0,2100.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=57&s=228,
Itapiranga,estacaouruguai3663,500.0,600.0,730.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=36&s=63,
Iraí,estacaouruguai3766,500.0,600.0,800.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=37&s=66,
Passo Montenegro - SAT,estacaocai122187,300.0,400.0,600.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=122&s=187,
Barca do caí - SAT,estacaocai100163,500.0,700.0,1050.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=100&s=163,
Costa do Rio Cadeia - SAT,estacaocai91167,500.0,700.0,1000.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=91&s=167,
Feliz - SAT,estacaocai117176,450.0,700.0,900.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=117&s=176,
Vale Real,estacaocai123190,,,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=123&s=190,
Nova Palmira - SAT,estacaocai98171,200.0,300.0,470.0,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=98&s=171,
